Algorithm,DataType,ArraySize,AverageTimeNs,AverageTimeMs
QuickSort,MIXED_BIG_NUMBERS,100,44141,0.044141
MergeSort,MIXED_BIG_NUMBERS,100,99900,0.099900
HeapSort,MIXED_BIG_NUMBERS,100,121016,0.121016
SelectionSort,MIXED_BIG_NUMBERS,100,163641,0.163641
QuickSort,MIXED_BIG_NUMBERS,500,341491,0.341491
MergeSort,MIXED_BIG_NUMBERS,500,654833,0.654833
HeapSort,MIXED_BIG_NUMBERS,500,867108,0.867108
SelectionSort,MIXED_BIG_NUMBERS,500,4161349,4.161349
QuickSort,MIXED_BIG_NUMBERS,1000,764524,0.764524
MergeSort,MIXED_BIG_NUMBERS,1000,1472533,1.472533
HeapSort,MIXED_BIG_NUMBERS,1000,1942925,1.942925
SelectionSort,MIXED_BIG_NUMBERS,1000,16719266,16.719266
QuickSort,SINGLE_ELEMENT,1,341,0.000341
MergeSort,SINGLE_ELEMENT,1,150,0.000150
HeapSort,SINGLE_ELEMENT,1,525,0.000525
SelectionSort,SINGLE_ELEMENT,1,225,0.000225
QuickSort,EMPTY_ARRAY,0,208,0.000208
MergeSort,EMPTY_ARRAY,0,116,0.000116
HeapSort,EMPTY_ARRAY,0,391,0.000391
SelectionSort,EMPTY_ARRAY,0,241,0.000241
QuickSort,ALL_SAME,100,346149,0.346149
MergeSort,ALL_SAME,100,94117,0.094117
HeapSort,ALL_SAME,100,30208,0.030208
SelectionSort,ALL_SAME,100,149425,0.149425
QuickSort,ALL_SAME,500,8221491,8.221491
MergeSort,ALL_SAME,500,546008,0.546008
HeapSort,ALL_SAME,500,154091,0.154091
SelectionSort,ALL_SAME,500,3987916,3.987916
QuickSort,ALL_SAME,1000,33868825,33.868825
MergeSort,ALL_SAME,1000,1241966,1.241966
HeapSort,ALL_SAME,1000,313324,0.313324
SelectionSort,ALL_SAME,1000,16593725,16.593725
QuickSort,TWO_ELEMENTS,2,958,0.000958
MergeSort,TWO_ELEMENTS,2,1075,0.001075
HeapSort,TWO_ELEMENTS,2,1025,0.001025
SelectionSort,TWO_ELEMENTS,2,441,0.000441
QuickSort,ALL_ZEROS,100,345208,0.345208
MergeSort,ALL_ZEROS,100,95908,0.095908
HeapSort,ALL_ZEROS,100,28899,0.028899
SelectionSort,ALL_ZEROS,100,152641,0.152641
QuickSort,ALL_ZEROS,500,8442216,8.442216
MergeSort,ALL_ZEROS,500,569841,0.569841
HeapSort,ALL_ZEROS,500,150733,0.150733
SelectionSort,ALL_ZEROS,500,4144058,4.144058
QuickSort,ALL_ZEROS,1000,33975900,33.975900
MergeSort,ALL_ZEROS,1000,1240141,1.240141
HeapSort,ALL_ZEROS,1000,301433,0.301433
SelectionSort,ALL_ZEROS,1000,16501566,16.501566
QuickSort,ALTERNATING,100,190483,0.190483
MergeSort,ALTERNATING,100,105366,0.105366
HeapSort,ALTERNATING,100,72333,0.072333
SelectionSort,ALTERNATING,100,160108,0.160108
QuickSort,ALTERNATING,500,4377500,4.377500
MergeSort,ALTERNATING,500,647091,0.647091
HeapSort,ALTERNATING,500,485675,0.485675
SelectionSort,ALTERNATING,500,4015024,4.015024
QuickSort,ALTERNATING,1000,17184691,17.184691
MergeSort,ALTERNATING,1000,1383808,1.383808
HeapSort,ALTERNATING,1000,1116208,1.116208
SelectionSort,ALTERNATING,1000,17446616,17.446616
QuickSort,FLOAT_NUMBERS,100,46791,0.046791
MergeSort,FLOAT_NUMBERS,100,105600,0.105600
HeapSort,FLOAT_NUMBERS,100,127249,0.127249
SelectionSort,FLOAT_NUMBERS,100,154149,0.154149
QuickSort,FLOAT_NUMBERS,500,387800,0.387800
MergeSort,FLOAT_NUMBERS,500,657091,0.657091
HeapSort,FLOAT_NUMBERS,500,899466,0.899466
SelectionSort,FLOAT_NUMBERS,500,3951341,3.951341
QuickSort,FLOAT_NUMBERS,1000,797258,0.797258
MergeSort,FLOAT_NUMBERS,1000,1457599,1.457599
HeapSort,FLOAT_NUMBERS,1000,2007200,2.007200
SelectionSort,FLOAT_NUMBERS,1000,15684083,15.684083
QuickSort,VERY_SMALL_FLOATS,100,49225,0.049225
MergeSort,VERY_SMALL_FLOATS,100,104633,0.104633
HeapSort,VERY_SMALL_FLOATS,100,136741,0.136741
SelectionSort,VERY_SMALL_FLOATS,100,149241,0.149241
QuickSort,VERY_SMALL_FLOATS,500,329100,0.329100
MergeSort,VERY_SMALL_FLOATS,500,663192,0.663192
HeapSort,VERY_SMALL_FLOATS,500,915358,0.915358
SelectionSort,VERY_SMALL_FLOATS,500,3909250,3.909250
QuickSort,VERY_SMALL_FLOATS,1000,766083,0.766083
MergeSort,VERY_SMALL_FLOATS,1000,1476791,1.476791
HeapSort,VERY_SMALL_FLOATS,1000,2053841,2.053841
SelectionSort,VERY_SMALL_FLOATS,1000,15833275,15.833275
